Agreement,Step,Δcount,Δroots,Δorphans,Δdepth,Δretyped
25,MainTitleClassifierV6,15,15,0,0,0
25,SmartSectionClassifierV6,54,30,24,3,0
25,TextClassifier,0,0,0,0,2057
26,ContentClassifierV6,804,0,804,4,0
26,EmptyElementClassifier,0,0,0,0,16
26,EnhancedClauseClassifierV6,127,0,127,5,0
26,EnhancedTOCDetector,1,1,0,1,0
26,HeadingClassifierV6,90,64,26,0,0
26,ImprovedMetadataRemoverV7,0,0,0,0,575
26,LateMetadataRemoverStep,-5,0,0,0,0
26,LegalContentClassifierV6,95,14,81,3,0
26,MainTitleClassifierV6,16,16,0,0,0
26,SmartSectionClassifierV6,62,30,32,3,0
26,TextClassifier,0,0,0,0,2130
27,ContentClassifierV6,817,0,817,4,0
27,EmptyElementClassifier,0,0,0,0,16
27,EnhancedClauseClassifierV6,127,0,127,5,0
27,EnhancedTOCDetector,1,1,0,1,0
27,HeadingClassifierV6,90,64,26,0,0
27,ImprovedMetadataRemoverV7,0,0,0,0,590
27,LateMetadataRemoverStep,-5,0,0,0,0
27,LegalContentClassifierV6,95,14,81,3,0
27,MainTitleClassifierV6,16,16,0,0,0
27,SmartSectionClassifierV6,62,30,32,3,0
27,TextClassifier,0,0,0,0,2157
28,ContentClassifierV6,837,0,837,4,0
28,EmptyElementClassifier,0,0,0,0,16
28,EnhancedClauseClassifierV6,133,0,133,5,0
28,EnhancedTOCDetector,1,1,0,1,0
28,HeadingClassifierV6,92,66,26,0,0
28,ImprovedMetadataRemoverV7,0,0,0,0,654
28,LateMetadataRemoverStep,-5,0,0,0,0
28,LegalContentClassifierV6,95,14,81,3,0
28,MainTitleClassifierV6,17,17,0,0,0
28,SmartSectionClassifierV6,64,30,34,3,0
28,TextClassifier,0,0,0,0,2227
29,ContentClassifierV6,887,0,887,4,0
29,EmptyElementClassifier,0,0,0,0,16
29,EnhancedClauseClassifierV6,152,0,152,5,0
29,EnhancedTOCDetector,1,1,0,1,0
29,HeadingClassifierV6,96,68,28,0,0
29,ImprovedMetadataRemoverV7,0,0,0,0,736
29,LateMetadataRemoverStep,-5,0,0,0,0
29,LegalContentClassifierV6,104,15,89,3,0
29,MainTitleClassifierV6,18,18,0,0,0
29,SmartSectionClassifierV6,68,30,38,3,0
29,TextClassifier,0,0,0,0,2318
30,ContentClassifierV6,949,0,949,4,0
30,EmptyElementClassifier,0,0,0,0,16
30,EnhancedClauseClassifierV6,158,0,158,5,0
30,EnhancedTOCDetector,1,1,0,1,0
30,HeadingClassifierV6,109,70,39,0,0
30,ImprovedMetadataRemoverV7,0,0,0,0,768
30,LateMetadataRemoverStep,-5,0,0,0,0
30,LegalContentClassifierV6,106,15,91,3,0
30,MainTitleClassifierV6,19,19,0,0,0
30,SmartSectionClassifierV6,69,30,39,3,0
30,TextClassifier,0,0,0,0,2397
31,ContentClassifierV6,950,0,950,4,0
31,EmptyElementClassifier,0,0,0,0,16
31,EnhancedClauseClassifierV6,158,0,158,5,0
31,EnhancedTOCDetector,1,1,0,1,0
31,HeadingClassifierV6,109,70,39,0,0
31,ImprovedMetadataRemoverV7,0,0,0,0,768
31,LateMetadataRemoverStep,-5,0,0,0,0
31,LegalContentClassifierV6,106,15,91,3,0
31,MainTitleClassifierV6,19,19,0,0,0
31,SmartSectionClassifierV6,69,30,39,3,0
31,TextClassifier,0,0,0,0,2455
32,ContentClassifierV6,1022,0,1022,4,0
32,EmptyElementClassifier,0,0,0,0,16
32,EnhancedClauseClassifierV6,180,0,180,5,0
32,EnhancedTOCDetector,1,1,0,1,0
32,HeadingClassifierV6,112,71,41,0,0
32,ImprovedMetadataRemoverV7,0,0,0,0,768
32,LateMetadataRemoverStep,-5,0,0,0,0
32,LegalContentClassifierV6,106,15,91,3,0
32,MainTitleClassifierV6,19,19,0,0,0
32,SmartSectionClassifierV6,69,30,39,3,0
32,TextClassifier,0,0,0,0,2531
33,ContentClassifierV6,1026,0,1026,4,0
33,EmptyElementClassifier,0,0,0,0,16
33,EnhancedClauseClassifierV6,180,0,180,5,0
33,EnhancedTOCDetector,1,1,0,1,0
33,HeadingClassifierV6,112,71,41,0,0
33,ImprovedMetadataRemoverV7,0,0,0,0,784
33,LateMetadataRemoverStep,-5,0,0,0,0
33,LegalContentClassifierV6,106,15,91,3,0
33,MainTitleClassifierV6,19,19,0,0,0
33,SmartSectionClassifierV6,69,30,39,3,0
33,TextClassifier,0,0,0,0,2603
34,ContentClassifierV6,1100,0,1100,4,0
34,EmptyElementClassifier,0,0,0,0,16
34,EnhancedClauseClassifierV6,193,0,193,5,0
34,EnhancedTOCDetector,1,1,0,1,0
34,HeadingClassifierV6,115,74,41,0,0
34,ImprovedMetadataRemoverV7,0,0,0,0,842
34,LateMetadataRemoverStep,-5,0,0,0,0
34,LegalContentClassifierV6,110,17,93,3,0
34,MainTitleClassifierV6,20,20,0,0,0
34,SmartSectionClassifierV6,69,30,39,3,0
34,TextClassifier,0,0,0,0,2692
35,ContentClassifierV6,1174,0,1174,4,0
35,EmptyElementClassifier,0,0,0,0,16
35,EnhancedClauseClassifierV6,193,0,193,5,0
35,EnhancedTOCDetector,1,1,0,1,0
35,HeadingClassifierV6,126,83,43,0,0
35,ImprovedMetadataRemoverV7,0,0,0,0,893
35,LateMetadataRemoverStep,-5,0,0,0,0
35,LegalContentClassifierV6,115,17,98,3,0
35,MainTitleClassifierV6,21,21,0,0,0
35,SmartSectionClassifierV6,69,30,39,3,0
35,TextClassifier,0,0,0,0,2875
36,ContentClassifierV6,1250,0,1250,4,0
36,EmptyElementClassifier,0,0,0,0,16
36,EnhancedClauseClassifierV6,205,0,205,5,0
36,EnhancedTOCDetector,1,1,0,1,0
36,HeadingClassifierV6,129,86,43,0,0
36,ImprovedMetadataRemoverV7,0,0,0,0,914
36,LateMetadataRemoverStep,-5,0,0,0,0
36,LegalContentClassifierV6,115,17,98,3,0
36,MainTitleClassifierV6,22,22,0,0,0
36,SmartSectionClassifierV6,69,30,39,3,0
36,TextClassifier,0,0,0,0,3027
37,ContentClassifierV6,1334,0,1334,4,0
37,EmptyElementClassifier,0,0,0,0,19
37,EnhancedClauseClassifierV6,222,0,222,5,0
37,EnhancedTOCDetector,1,1,0,1,0
37,HeadingClassifierV6,133,89,44,0,0
37,ImprovedMetadataRemoverV7,0,0,0,0,978
37,LateMetadataRemoverStep,-5,0,0,0,0
37,LegalContentClassifierV6,115,17,98,3,0
37,MainTitleClassifierV6,23,23,0,0,0
37,SmartSectionClassifierV6,69,30,39,3,0
37,TextClassifier,0,0,0,0,3108
38,ContentClassifierV6,1334,0,1334,4,0
38,EmptyElementClassifier,0,0,0,0,19
38,EnhancedClauseClassifierV6,222,0,222,5,0
38,EnhancedTOCDetector,1,1,0,1,0
38,HeadingClassifierV6,133,89,44,0,0
38,ImprovedMetadataRemoverV7,0,0,0,0,1030
38,LateMetadataRemoverStep,-5,0,0,0,0
38,LegalContentClassifierV6,115,17,98,3,0
38,MainTitleClassifierV6,23,23,0,0,0
38,SmartSectionClassifierV6,69,30,39,3,0
38,TextClassifier,0,0,0,0,3108
39,ContentClassifierV6,1334,0,1334,4,0
39,EmptyElementClassifier,0,0,0,0,19
39,EnhancedClauseClassifierV6,222,0,222,5,0
39,EnhancedTOCDetector,1,1,0,1,0
39,HeadingClassifierV6,134,90,44,0,0
39,ImprovedMetadataRemoverV7,0,0,0,0,1036
39,LateMetadataRemoverStep,-5,0,0,0,0
39,LegalContentClassifierV6,116,18,98,3,0
39,MainTitleClassifierV6,23,23,0,0,0
39,SmartSectionClassifierV6,69,30,39,3,0
39,TextClassifier,0,0,0,0,3141
40,ContentClassifierV6,1380,0,1380,4,0
40,EmptyElementClassifier,0,0,0,0,22
40,EnhancedClauseClassifierV6,226,0,226,5,0
40,EnhancedTOCDetector,1,1,0,1,0
40,HeadingClassifierV6,137,92,45,0,0
40,ImprovedMetadataRemoverV7,0,0,0,0,1042
40,LateMetadataRemoverStep,-5,0,0,0,0
40,LegalContentClassifierV6,116,18,98,3,0
40,MainTitleClassifierV6,24,24,0,0,0
40,SmartSectionClassifierV6,69,30,39,3,0
40,TextClassifier,0,0,0,0,3190
41,ContentClassifierV6,1380,0,1380,4,0
41,EmptyElementClassifier,0,0,0,0,22
41,EnhancedClauseClassifierV6,226,0,226,5,0
41,EnhancedTOCDetector,1,1,0,1,0
41,HeadingClassifierV6,137,92,45,0,0
41,ImprovedMetadataRemoverV7,0,0,0,0,1129
