Agreement,Step,Δelement_count,Δroots,Δorphans,Δdepth,Δretyped
9,TextElementMerger,0,0,0,0,0
9,VisualHeadingDetector,0,0,0,0,0
10,ConsecutivePageNumberClassifier,0,0,0,0,0
10,ContentClassifierV6,0,0,0,0,0
10,EarlyMetadataRemoverStep,0,0,0,0,0
10,EmptyElementClassifier,0,0,0,0,0
10,EnhancedClauseClassifierV6,0,0,0,0,87
10,EnhancedTOCDetector,0,0,0,0,0
10,FallbackTitleClassifier,0,0,0,0,0
10,HeadingClassifierV6,0,0,0,0,0
10,HierarchyBuilder,0,0,0,0,0
10,HtmlCommentRemoverStep,0,0,0,0,0
10,ImprovedMetadataRemoverv8,0,0,0,0,130
10,LateMetadataRemoverStep,0,0,0,0,0
10,LegalContentClassifierV6,0,0,0,0,0
10,MainTitleClassifierV6,0,0,0,0,0
10,OrphanAttacherStep,0,0,0,0,0
10,PageContinuationMerger,0,0,0,0,0
10,RepeatedHeaderFooterDetector,0,0,0,0,0
10,SmartSectionClassifierV6,0,0,0,0,0
10,TableClassifier,0,0,0,0,0
10,TableOfContentsClassifier,0,0,0,0,0
10,TableRootPromoter,0,0,0,0,0
10,TextClassifier,0,0,0,0,633
10,TextElementMerger,0,0,0,0,0
10,VisualHeadingDetector,0,0,0,0,0
11,ConsecutivePageNumberClassifier,0,0,0,0,0
11,ContentClassifierV6,0,0,0,0,0
11,EarlyMetadataRemoverStep,0,0,0,0,0
11,EmptyElementClassifier,0,0,0,0,0
11,EnhancedClauseClassifierV6,0,0,0,0,88
11,EnhancedTOCDetector,0,0,0,0,0
11,FallbackTitleClassifier,0,0,0,0,0
11,HeadingClassifierV6,0,0,0,0,0
11,HierarchyBuilder,0,0,0,0,0
11,HtmlCommentRemoverStep,0,0,0,0,0
11,ImprovedMetadataRemoverv8,0,0,0,0,142
11,LateMetadataRemoverStep,0,0,0,0,0
11,LegalContentClassifierV6,0,0,0,0,0
11,MainTitleClassifierV6,0,0,0,0,0
11,OrphanAttacherStep,0,0,0,0,0
11,PageContinuationMerger,0,0,0,0,0
11,RepeatedHeaderFooterDetector,0,0,0,0,0
11,SmartSectionClassifierV6,0,0,0,0,0
11,TableClassifier,0,0,0,0,0
11,TableOfContentsClassifier,0,0,0,0,0
11,TableRootPromoter,0,0,0,0,0
11,TextClassifier,0,0,0,0,671
11,TextElementMerger,0,0,0,0,0
11,VisualHeadingDetector,0,0,0,0,0
12,ConsecutivePageNumberClassifier,0,0,0,0,0
12,ContentClassifierV6,0,0,0,0,0
12,EarlyMetadataRemoverStep,0,0,0,0,0
12,EmptyElementClassifier,0,0,0,0,0
12,EnhancedClauseClassifierV6,0,0,0,0,101
12,EnhancedTOCDetector,0,0,0,0,0
12,FallbackTitleClassifier,0,0,0,0,0
12,HeadingClassifierV6,0,0,0,0,0
12,HierarchyBuilder,0,0,0,0,0
12,HtmlCommentRemoverStep,0,0,0,0,0
12,ImprovedMetadataRemoverv8,0,0,0,0,156
12,LateMetadataRemoverStep,0,0,0,0,0
12,LegalContentClassifierV6,0,0,0,0,0
12,MainTitleClassifierV6,0,0,0,0,0
12,OrphanAttacherStep,0,0,0,0,0
12,PageContinuationMerger,0,0,0,0,0
12,RepeatedHeaderFooterDetector,0,0,0,0,0
12,SmartSectionClassifierV6,0,0,0,0,0
12,TableClassifier,0,0,0,0,0
12,TableOfContentsClassifier,0,0,0,0,0
12,TableRootPromoter,0,0,0,0,0
12,TextClassifier,0,0,0,0,734
12,TextElementMerger,0,0,0,0,0
12,VisualHeadingDetector,0,0,0,0,0
13,ConsecutivePageNumberClassifier,0,0,0,0,0
13,ContentClassifierV6,0,0,0,0,0
13,EarlyMetadataRemoverStep,0,0,0,0,0
13,EmptyElementClassifier,0,0,0,0,0
13,EnhancedClauseClassifierV6,0,0,0,0,106
13,EnhancedTOCDetector,0,0,0,0,0
13,FallbackTitleClassifier,0,0,0,0,0
13,HeadingClassifierV6,0,0,0,0,0
13,HierarchyBuilder,0,0,0,0,0
13,HtmlCommentRemoverStep,0,0,0,0,0
13,ImprovedMetadataRemoverv8,0,0,0,0,156
13,LateMetadataRemoverStep,0,0,0,0,0
13,LegalContentClassifierV6,0,0,0,0,0
13,MainTitleClassifierV6,0,0,0,0,0
13,OrphanAttacherStep,0,0,0,0,0
13,PageContinuationMerger,0,0,0,0,0
13,RepeatedHeaderFooterDetector,0,0,0,0,0
13,SmartSectionClassifierV6,0,0,0,0,0
13,TableClassifier,0,0,0,0,0
13,TableOfContentsClassifier,0,0,0,0,0
13,TableRootPromoter,0,0,0,0,0
13,TextClassifier,0,0,0,0,793
13,TextElementMerger,0,0,0,0,0
13,VisualHeadingDetector,0,0,0,0,0
14,ConsecutivePageNumberClassifier,0,0,0,0,0
14,ContentClassifierV6,0,0,0,0,0
14,EarlyMetadataRemoverStep,0,0,0,0,0
14,EmptyElementClassifier,0,0,0,0,0
14,EnhancedClauseClassifierV6,0,0,0,0,106
14,EnhancedTOCDetector,0,0,0,0,0
14,FallbackTitleClassifier,0,0,0,0,0
14,HeadingClassifierV6,0,0,0,0,0
14,HierarchyBuilder,0,0,0,0,0
14,HtmlCommentRemoverStep,0,0,0,0,0
14,ImprovedMetadataRemoverv8,0,0,0,0,182
14,LateMetadataRemoverStep,0,0,0,0,0
14,LegalContentClassifierV6,0,0,0,0,0
14,MainTitleClassifierV6,0,0,0,0,0
14,OrphanAttacherStep,0,0,0,0,0
14,PageContinuationMerger,0,0,0,0,0
14,RepeatedHeaderFooterDetector,0,0,0,0,0
14,SmartSectionClassifierV6,0,0,0,0,0
14,TableClassifier,0,0,0,0,0
14,TableOfContentsClassifier,0,0,0,0,0
14,TableRootPromoter,0,0,0,0,0
14,TextClassifier,0,0,0,0,833
14,TextElementMerger,0,0,0,0,0
