Agreement,Step,Δcount,Δroots,Δorphans,Δdepth,Δretyped
8,ContentClassifierV6,0,0,0,0,0
8,EarlyMetadataRemoverStep,0,0,0,0,0
8,EmptyElementClassifier,0,0,0,0,3
8,EnhancedClauseClassifierV6,0,0,0,0,0
8,EnhancedTOCDetector,0,0,0,0,0
8,FallbackTitleClassifier,0,0,0,0,0
8,HeadingClassifierV6,0,0,0,0,0
8,HierarchyBuilder,0,0,0,0,0
8,HtmlCommentRemoverStep,0,0,0,0,0
8,ImprovedMetadataRemoverV7,0,0,0,0,127
8,LateMetadataRemoverStep,0,0,0,0,0
8,LegalContentClassifierV6,0,0,0,0,0
8,MainTitleClassifierV6,0,0,0,0,0
8,OrphanAttacherStep,0,0,0,0,0
8,SmartSectionClassifierV6,0,0,0,0,0
8,TableClassifier,0,0,0,0,0
8,TableOfContentsClassifier,0,0,0,0,0
8,TableRootPromoter,0,0,0,0,0
8,TextClassifier,0,0,0,0,549
8,TextElementMerger,0,0,0,0,0
8,VisualHeadingDetector,0,0,0,0,0
9,ConsecutivePageNumberClassifier,0,0,0,0,0
9,ContentClassifierV6,0,0,0,0,0
9,EarlyMetadataRemoverStep,0,0,0,0,0
9,EmptyElementClassifier,0,0,0,0,3
9,EnhancedClauseClassifierV6,0,0,0,0,0
9,EnhancedTOCDetector,0,0,0,0,0
9,FallbackTitleClassifier,0,0,0,0,0
9,HeadingClassifierV6,0,0,0,0,0
9,HierarchyBuilder,0,0,0,0,0
9,HtmlCommentRemoverStep,0,0,0,0,0
9,ImprovedMetadataRemoverV7,0,0,0,0,128
9,LateMetadataRemoverStep,0,0,0,0,0
9,LegalContentClassifierV6,0,0,0,0,0
9,MainTitleClassifierV6,0,0,0,0,0
9,OrphanAttacherStep,0,0,0,0,0
9,SmartSectionClassifierV6,0,0,0,0,0
9,TableClassifier,0,0,0,0,0
9,TableOfContentsClassifier,0,0,0,0,0
9,TableRootPromoter,0,0,0,0,0
9,TextClassifier,0,0,0,0,561
9,TextElementMerger,0,0,0,0,0
9,VisualHeadingDetector,0,0,0,0,0
10,ConsecutivePageNumberClassifier,0,0,0,0,0
10,ContentClassifierV6,0,0,0,0,0
10,EarlyMetadataRemoverStep,0,0,0,0,0
10,EmptyElementClassifier,0,0,0,0,5
10,EnhancedClauseClassifierV6,0,0,0,0,0
10,EnhancedTOCDetector,0,0,0,0,0
10,FallbackTitleClassifier,0,0,0,0,0
10,HeadingClassifierV6,0,0,0,0,0
10,HierarchyBuilder,0,0,0,0,0
10,HtmlCommentRemoverStep,0,0,0,0,0
10,ImprovedMetadataRemoverV7,0,0,0,0,150
10,LateMetadataRemoverStep,0,0,0,0,0
10,LegalContentClassifierV6,0,0,0,0,0
10,MainTitleClassifierV6,0,0,0,0,0
10,OrphanAttacherStep,0,0,0,0,0
10,SmartSectionClassifierV6,0,0,0,0,0
10,TableClassifier,0,0,0,0,0
10,TableOfContentsClassifier,0,0,0,0,0
10,TableRootPromoter,0,0,0,0,0
10,TextClassifier,0,0,0,0,598
10,TextElementMerger,0,0,0,0,0
10,VisualHeadingDetector,0,0,0,0,0
11,ConsecutivePageNumberClassifier,0,0,0,0,0
11,ContentClassifierV6,0,0,0,0,0
11,EarlyMetadataRemoverStep,0,0,0,0,0
11,EmptyElementClassifier,0,0,0,0,5
